ID,title,author,isbn,publisher,edition,pages,dimension
125,Journey to the Center of the Earth,Kathleen Olmstead; Eric Freeberg,9781402773136,Sterling,Unknown,150 pages,5.61 x 7.72 x 0.65 inches
126,AC/DC Story,Jerry Ewing,9781780976167,Carlton Books Ltd,Unknown,,
127,Haunts,Laura Cherry,9780984192830,Cooper Dillon Books,Unknown,,
128,A Room with a View,E. M. Forster; Radhika Jones,9781593082888,Barnes & Noble,Unknown,212 pages,5.34 x 8.01 x 0.63 inches
129,The Book of Lies,Brad Meltzer,9781455508174,Grand Central Publishing,Unknown,395 pages,4.10 x 7.50 x 1.30 inches
130,Edge,Jeffery Deaver,9781476726427,Pocket Books,Unknown,,
131,El Principe Serpiente = The Serpent Prince,Elizabeth Hoyt,9788496711853,Titania,Unknown,382 pages,5.80 x 8.70 x 1.00 inches
132,Joy's Journey,Barbara Hosiner,9781522743989,CreateSpace Independent Publishing Platform,Unknown,,
133,Engineering Infinity,Jonathan Strahan; Charles Stross; Gwyneth Jones,9781907519529,Solaris,Unknown,391 pages,4.26 x 6.79 x 1.07 inches
134,Bartlett's Book of Anecdotes,Clifton Fadiman; Andre Bernard,9780316082679,Little Brown and Company,7,800 pages,7.50 x 9.40 x 2.30 inches
135,After Dark,Jayne Castle,9780515129021,Jove Books,Unknown,332 pages,4.24 x 6.81 x 0.97 inches
136,Full Spectrum 3,Lou Aronica; Amy Stout; Betsy Mitchell,9780385418027,Broadway Books,Unknown,552 pages,5.50 x 8.30 x 1.20 inches
137,Creative Couplings,David Mack; John S. Drew; Glenn Greenberg,9781416548980,Pocket Books/Star Trek,Unknown,533 pages,5.50 x 8.50 x 1.30 inches
138,The More I Owe You,Michael Sledge,9781582435763,Counterpoint LLC,Unknown,328 pages,5.56 x 8.20 x 0.92 inches
139,Knife Creek,Paul Doiron,9781250102355,Minotaur Books,Unknown,,
140,Reaper's Challenge,T.J. Dipple,9781909224322,Netherworld Books,Unknown,,
141,Cirque Act 2 (Volume 2),Ashleigh Giannoccaro,9781542918640,CreateSpace Independent Publishing Platform,Unknown,,
142,The Diva Cooks a Goose,Krista Davis,9780425238257,Berkley,Unknown,304 pages,4.10 x 6.70 x 0.90 inches
143,Finding My Faith,Carly Fall,9781495236259,CreateSpace Independent Publishing Platform,Unknown,,
144,The Marshall Plan and the Shaping of American Strategy b,Marshall Plan and the Shaping of American Strategy by,9780815729532,Brookings Institution Press,Unknown,,
145,Psychopomp (Lana Harvey Reapers Inc.) (Volume 4),Angela Roquet,9781502721488,CreateSpace Independent Publishing Platform,Unknown,,
146,Girl Don't You Jump Rope!,Betty Anne Hennings Jackson,9781491735855,iUniverse,Unknown,,
147,Zero Sum Game,David Mack,9781439160794,Pocket Books,Unknown,336 pages,4.26 x 6.74 x 0.96 inches
148,Forever Black,Elise Noble,9781910954140,Undercover Publishing Limited,Unknown,,
149,Fantastic Beasts and Where to Find Them,J K; Scamander; Newt Rowling,9781338216790,Arthur A. Levine Books,Unknown,,
150,Archaeology,Mark Q. Sutton,9780205881796,Pearson Education (US),Unknown,432 pages,7.99 x 10.00 x 0.71 inches
151,I am Sacagawea (Ordinary People Change the World),Brad Meltzer,9780525428534,Dial Books,Unknown,,
152,Science among the Ottomans,Miri Shefer-Mossensohn,9781477312216,University of Texas Press,Unknown,,
153,Iron Orchid,Stuart Woods,9780451215765,Signet Book,Unknown,388 pages,4.18 x 7.18 x 0.99 inches
154,Attack of the Kraken (The Yeti Files),Kevin Sherry,9780545857819,Scholastic Pr,Unknown,,
155,The Singer's Gun,Emily St. John Mandel,9781101911976,Vintage,Unknown,,
156,Queen's Own Fool,Jane Yolen; Robert J. Harris,9780698119185,Speak,Unknown,390 pages,5.48 x 8.38 x 1.03 inches
157,Jacks Are Wild,Monique Martin,9781517129910,CreateSpace Independent Publishing Platform,Unknown,,
158,The Collected Adventures of Peter Pan,J.M. Barrie,9781515291589,CreateSpace Independent Publishing Platform,Unknown,,
159,Devil's Waltz,Jonathan Kellerman,9780345540157,Ballantine Books,Unknown,496 pages,
160,Mascarada a la luz de la luna (Spanish Edition),Jude Deveraux,9788490700273,Ediciones B,Unknown,,
161,Encyclopedia of Science Fiction,Don D'Ammassa,9780816059249,Facts on File,Unknown,448 pages,7.60 x 9.48 x 1.18 inches
162,Ghost Stories and How to Write Them,Kathleen McGurl,9781495485220,CreateSpace Independent Publishing Platform,Unknown,,
163,Beware This Boy (Tom Tyler Mystery Series),Maureen Jennings,9780771043192,McClelland & Stewart,Unknown,,
164,Annotated Sandman Vol. 1,Neil Gaiman; Various; Leslie Klinger,9781401233327,Vertigo,Unknown,560 pages,12.00 x 11.90 x 1.40 inches
165,Phantoms,Dean Koontz,9780425253748,Berkley,Unknown,,
166,Zombie Apocalypse,Colin Webster,9781477127032,Xlibris Corporation,Unknown,390 pages,5.98 x 9.02 x 0.87 inches
167,Content-Based Readers Fiction Early (Science),National Geographic Learning,9780792260295,National Geographic School Pub,Unknown,,
168,How Do Dinosaurs Say I Love You?,Jane Yolen; Mark Teague,9780545143141,Blue Sky Press (AZ),Unknown,40 pages,9.40 x 12.10 x 0.36 inches
169,Wild Orchids,Jude Deveraux,9780743437134,Pocket Books,Unknown,464 pages,4.15 x 6.77 x 1.13 inches
170,Handy Ocean Answer Book,Thomas E. Svarney; Patricia Barnes-Svarney,9781578590636,Visible Ink Press,Unknown,616 pages,7.27 x 9.19 x 1.23 inches
171,Memento,Claire Molloy,9780748637720,Edinburgh University Press,Unknown,160 pages,5.30 x 8.50 x 0.40 inches
172,Modern Classics of Science Fiction,Gardner Dozois,9780312072384,St. Martin's Press,Unknown,672 pages,5.80 x 8.50 x 2.10 inches
173,Out of Control,Christopher Crouse,9781491801673,AuthorHouse,Unknown,,
174,Something at the Window is Scratching,Roman Dirge,9781782763499,Titan Comics,Unknown,,
175,A Light in the Midst of Darkness,Erik Loebl,9781602663930,Xulon Press,Unknown,124 pages,5.00 x 8.00 x 0.29 inches
176,The Magician's Accomplice,Michael Genelin,9781569479520,Soho Crime,Unknown,322 pages,4.90 x 7.40 x 1.00 inches
177,Holly,Jude Deveraux,9780743479004,Pocket Star Books,Unknown,308 pages,4.66 x 6.56 x 0.93 inches
178,Culture Science Society,Gyrgy Mrkus; Gy'orgy Markus,9789004202405,Brill Academic Publishers,Unknown,666 pages,
179,Funny Letters from Famous People,Charles Osgood,9780767911764,Broadway Books,Unknown,240 pages,5.53 x 8.55 x 0.59 inches
180,After Caroline,Kay Hooper,9780553571844,Bantam,Unknown,368 pages,4.46 x 7.20 x 1.02 inches
181,Hour Game (King & Maxwell Series),David Baldacci,9781455550791,Grand Central Publishing,Unknown,,
182,Barchester Towers,Anthony Trollope; Edward Mendelson; George Stade,9781593083373,Barnes & Noble,Unknown,528 pages,5.20 x 8.00 x 1.60 inches
183,Galactic Empires b,actic Empires by,9781597808842,Night Shade Books,Unknown,,
184,Engineering Mechanics and Design Applications,Atila Ertas,9781439849309,CRC Press,Unknown,343 pages,
185,Julia,Wild Pages Press,9781544173122,CreateSpace Independent Publishing Platform,Unknown,,
186,Eat My Shorts,Jonathan Westbrook,9781492126768,CreateSpace Independent Publishing Platform,Unknown,,
187,The Great Alone,Kristin Hannah,9780312577230,Holtzbrinck Publishers,Unknown,,
188,Dark Debt (Chicagoland Vampires),Chloe Neill,9780451472328,Berkley,Unknown,,
189,The Origin of Species,Charles Darwin; George Levine,9781593080778,Barnes & Noble Classics,Unknown,480 pages,5.22 x 8.02 x 1.25 inches
190,International Space Station Coloring Book,Bruce LaFontaine; Coloring Books,9780486423791,Dover Publications,Unknown,32 pages,7.00 x 11.16 x 0.20 inches
191,Dark of the Moon,Karen Robards,9780380754373,Avon Books,Unknown,407 pages,4.34 x 6.86 x 1.11 inches
192,Clarkesworld,Neil; Valente; Catherynne M.; de Bodard; Aliette; Li Clarke,9781890464264,Wyrm Publishing,Unknown,,
193,Callsign,Jeff Noecker,9781462004829,iUniverse.com,Unknown,180 pages,5.98 x 9.02 x 0.38 inches
194,Kill or Be Killed,James Patterson,9780316320047,BookShots,Unknown,,
195,The Best Science Fiction and Fantasy of the Year Volume 3,Jonathan Strahan,9781597801492,Night Shade Books,Unknown,478 pages,6.00 x 8.90 x 1.40 inches
196,The Grey Fairy Book - Andrew Lang,Andrew Lang,9781312530300,lulu.com,Unknown,,
197,Legacies: Book #3: Purgatory's Key (Star Trek,Dayton; Dilmore; Kevin Ward,9781501122774,Pocket Books/Star Trek,Unknown,,
198,Kidnapped,Jan Burchett; Sara Vogler,9781444005868,Orion Publishing Co,Unknown,144 pages,7.76 x 5.08 x 0.43 inches
199,Anorexia and Bulimia (Perspectives on Diseases and Disorders) b,rexia and Bulimia (Perspectives on Diseases and Disorders) by,9780737763485,Greenhaven Press,Unknown,,
200,Race in John Howard Griffin S Black Like Me,David Nelson,9780737763744,Greenhaven Press,Unknown,224 pages,
201,Star Trek: Mirror Universe,David Mack,9781501107122,Pocket Books/Star Trek,Unknown,,
202,Enemy Mine,Kay Hooper,9780515139266,Jove Books,Unknown,295 pages,4.24 x 6.78 x 0.85 inches
203,The Brothers Karamazov - Vol II (1879),Fyodor M. Dostoevsky,9781406791952,Pomona Press,Unknown,448 pages,5.50 x 8.50 x 1.00 inches
204,The Pride,Brian K. Vaughan; Adrian Alphona; David Newbold,9781599612935,Spotlight,Unknown,,6.86 x 10.48 x 0.32 inches
205,Captiva,Randy Wayne White,9780425158548,Berkley,Unknown,336 pages,4.26 x 6.94 x 0.96 inches
206,Sandman Slipcase Set,Neil Gaiman,9781401238636,Vertigo,Unknown,,
207,Bleak House,Charles Dickens; Phiz; Tatiana M. Holway,9781593083113,Barnes & Noble Classics,Unknown,874 pages,6.26 x 7.98 x 1.94 inches
208,Nightmares in Color (Disorderly Chao) (Volume 1),Mahalia Edwards,9781540454294,CreateSpace Independent Publishing Platform,Unknown,,
209,CatStronauts,Drew Brockington,9780316307536,Little Brown Books for Young Readers,Unknown,,
210,Athens,Baron Edward Bulmer-Lytton,9781537435381,CreateSpace Independent Publishing Platform,Unknown,,
211,Fearless,Jack Campbell,9780441014767,Ace Books,Unknown,295 pages,4.20 x 6.74 x 0.81 inches
212,Groundwater Science,Charles R. Fitts,9780123847058,Academic Press,2,692 pages,7.70 x 9.30 x 1.30 inches
213,Phoenix Without Ashes,Harlan; Bryant; Edward Ellison,9781495286636,CreateSpace Independent Publishing Platform,Unknown,,
214,Eaten by a Shark,Sue Hamilton,9781604539318,ABDO & Daughters,Unknown,32 pages,7.90 x 9.80 x 0.30 inches
215,Rosehaven,Catherine Coulter,9780515120882,Jove Books,Unknown,384 pages,4.21 x 6.81 x 1.10 inches
216,Cold Paradise,Stuart Woods,9780451205629,Signet Book,Unknown,432 pages,4.33 x 7.54 x 0.98 inches
217,The Intersection of Science Fiction and Philosophy,Robert E. Myers,9780313224935,Greenwood Press,Unknown,262 pages,6.02 x 8.56 x 0.96 inches
218,The Varieties of Religious Experience (Barnes & Noble Classics Series),William James; William Shakespeare; Wayne Proudfoot,9781593080723,Barnes & Noble Classics,Unknown,512 pages,5.24 x 8.02 x 1.36 inches
219,Extinction War (The Extinction Cycle),Nicholas Sansbury Smith,9780316558211,Orbit,Unknown,,
220,Science Fiction Classics #7,Edgar Rice; Reed; David V; McGivern; William P; O Burroughs,9781508862864,CreateSpace Independent Publishing Platform,Unknown,,
221,Nyla Detects A Mystery,Rebecca Rivers,9781499505290,CreateSpace Independent Publishing Platform,Unknown,,
222,The Holy War,John Bunyan,9781622453009,Aneko Press,Unknown,,
223,Foundation's Edge,Isaac Asimov,9780553293388,Spectra Books,Unknown,480 pages,4.20 x 6.86 x 1.08 inches
224,Wings of Fire,Hoyt Huggins,9780692395516,Hoyt Huggins,Unknown,,
225,Axe of Vengeance,F. G. Moore,9781908200402,Mirador Publishing,Unknown,244 pages,5.98 x 9.02 x 0.55 inches
226,Notes from Underground the Double and Other Stories (Barnes & Noble Classic Series),Fyodor M. Dostoevsky; Deborah A. Martinsen; Constance Garnett,9781593081249,Barnes & Noble Classics,Unknown,464 pages,
227,Ghost Market (Lana Harvey Reapers Inc.) (Volume 6),Angela Roquet,9781532960505,CreateSpace Independent Publishing Platform,Unknown,,
228,Black Clover Vol. 5,Yuki Tabata,9781421591254,VIZ Media LLC,Unknown,,
229,Moshkel Gosha,Llewellyn Vaughan-Lee,9781890350109,Golden Sufi Center,Unknown,112 pages,5.10 x 7.30 x 0.60 inches
230,The Survivors Club,Lisa Gardner,9780345544247,Bantam,Unknown,,
231,Black Barbie Super Hero To the Rescue Now,Real Dan Edward Knight Sr.,9781500301989,CreateSpace Independent Publishing Platform,Unknown,,
232,Evangelicals & Science in Historical Perspective,David N. Livingstone; Mark A. Noll; D. G. Hart,9780195115574,Oxford University Press USA,Unknown,360 pages,9.10 x 6.44 x 1.26 inches
