ID,title,author,isbn,publisher,edition,pages,dimension
132,5000 Awesome Facts 3 (About Everything!),National Geographic Kids,9781426324529,National Geographic Society,,224,9.30(w) x 11.30(h) x 0.90(d)
133,The Clutch,Paul Hoblin,9781512453447,Lerner Publishing Group,,120,6.00(w) x 1.25(h) x 9.00(d)
134,Here Is Where We Meet,John Berger,9781400079339,Knopf Doubleday Publishing Group,Reprint,256,5.20(w) x 8.00(h) x 0.54(d)
135,Archangel's Enigma (Guild Hunter Series #8),Nalini Singh,9780425251263,Penguin Publishing Group,,384,4.10(w) x 6.70(h) x 1.20(d)
136,Fantastic Fiction #1: When the World Shook and Doctor Therne,H. Rider Haggard,9780857062437,Oakpast,,448,5.50(w) x 8.50(h) x 1.00(d)
137,'Olelo Hou: Basic Conversational Hawaiian,Mr John Keolamaka'ainana Lake,9781533057839,CreateSpace Publishing,,188,7.01(w) x 10.00(h) x 0.40(d)
138,Astonishing X-Men Volume 4: Unstoppable,Joss Whedon;  John Cassaday,9780785122548,Marvel,,200,6.64(w) x 10.04(h) x 0.31(d)
139,Evelyn's Promise (A More Perfect Union Series Book 4),Betty Bolte,9781614178194,ABN Leadership Group Inc dba ePublishing Works!,,244,5.00(w) x 8.00(h) x 0.55(d)
140,The Sea Captain's Wife,Beth Powning,9780452296954,Penguin Publishing Group,,384,5.30(w) x 7.90(h) x 0.90(d)
141,To Dance the Beginning of the World: Stories,Steven Hayward,9781550964684,Exile Editions Limited,,232,5.40(w) x 8.40(h) x 0.70(d)
142,The Emperor's Soul,Brandon Sanderson,9781616960926,Tachyon Publications,,176,4.90(w) x 7.90(h) x 1.80(d)
143,Biografias de los presidentes de los Estados Unidos,ABDO Publishing Company,9781629703787,ABDO Publishing Company,,24,9.40(w) x 11.30(h) x 1.70(d)
144,Sleep Black Bear Sleep,Jane Yolen;  Brooke Dyer;  Heidi E.y. Stemple;  Heidi E. Stemple,9780060815608,HarperCollins Publishers,,32,10.00(w) x 8.00(h) x 0.25(d)
145,El ruisenor (The Nightingale),Kristin Hannah,9781941999776,PRH Grupo Editorial,Spanish-language Edition,304,6.00(w) x 8.90(h) x 1.10(d)
146,Lupo,Monica La Porta,9781539712404,CreateSpace Publishing,,232,5.98(w) x 9.02(h) x 0.49(d)
147,The Intersection Of Science Fiction And Philosophy,Robert Myers,9780313224935,ABC-CLIO Incorporated,,262,5.50(w) x 8.50(h) x 0.75(d)
148,The Scrivener's Bones (Alcatraz Versus the Evil Librarians Series #2),Brandon Sanderson,9780765378965,Tom Doherty Associates,,368,5.50(w) x 8.30(h) x 1.30(d)
149,The Currents of Space,Isaac Asimov,9780765319173,Tom Doherty Associates,First Edition,240,5.40(w) x 8.20(h) x 0.80(d)
150,A Distant View of Everything (Isabel Dalhousie Series #11),Alexander McCall Smith,9780307908940,Knopf Doubleday Publishing Group,,256,5.60(w) x 8.40(h) x 1.00(d)
151,The Best Science Fiction of the Year: Volume Two,Neil Clarke,9781597808965,Night Shade Books,,624,6.00(w) x 8.90(h) x 1.90(d)
152,Black as Night,Billy Wells,9781456303136,CreateSpace Publishing,,258,6.00(w) x 9.00(h) x 0.58(d)
153,Swamp Thing by Brian K. Vaughan Vol. 1,Brian K. Vaughan;  Roger Peterson;  Cliff Chiang,9781401243043,DC Comics,,240,6.40(w) x 10.10(h) x 0.50(d)
154,Not a Creature Was Purring,Krista Davis,9781101988589,Penguin Publishing Group,,304,4.10(w) x 6.60(h) x 0.90(d)
155,Buena suerte (Wish You Well),David Baldacci,9788498720129,Ediciones B,Spanish-language Edition,384,5.40(w) x 8.60(h) x 1.00(d)
156,The Complete Sherlock Holmes Volume I (Barnes & Noble Classics Series),Arthur Conan Doyle,9781593080341,Barnes & Noble,,752,5.38(w) x 8.66(h) x 1.53(d)
157,Reference Guide to Science Fiction Fantasy and Horror,Michael Burgess;  Lisa R. Bartle;  Lisa R. Bartle,9781563085482,ABC-CLIO Incorporated,2ND,598,6.14(w) x 9.21(h) x 1.31(d)
158,H.P. Lovecraft The Complete Omnibus Collection Volume II: 1927-1935,H. P. Lovecraft;  Finn J.D. John,9780986409783,Pulp-Lit Productions,,608,7.00(w) x 10.00(h) x 1.22(d)
159,The Science Fiction Hall of Fame Volume Two A: The Greatest Science Fiction Novellas of All Time Chosen by the Members of The Science Fiction Writers of America,Ben Bova,9780765305350,Tom Doherty Associates,First Edition,544,5.50(w) x 8.30(h) x 0.95(d)
160,In Time for Christmas: An Out of Time Christmas Novella,Monique Martin,9781539539681,CreateSpace Publishing,,166,4.90(w) x 7.80(h) x 0.50(d)
161,The Inner Room,James Merrill,9780679720492,Knopf Doubleday Publishing Group,,112,5.74(w) x 9.26(h) x 0.31(d)
162,Liens de Sang (5 me Avenue 4),Christopher Smith,9781492353416,CreateSpace Publishing,,324,6.00(w) x 9.00(h) x 0.68(d)
