title,author,isbn,publisher,edition,pages,dimensions
Game Physics / Edition 2,David H. Eberly,9.78012E+12,Taylor & Francis,New Edition,944,7.70(w) x 9.40(h) x 1.60(d)
Every Body on Deck (Savannah Reid Series #22),G. A. McKevett,9.7815E+12,Kensington,,304,5.30(w) x 8.40(h) x 1.30(d)
Back to School Murder (Lucy Stone Series #4),Leslie Meier,9.78076E+12,Kensington,,256,4.10(w) x 6.70(h) x 0.60(d)
Amnesia,Cambria Hebert,9.78195E+12,Cambria Hebert,,410,6.00(w) x 1.25(h) x 9.00(d)
Invasions USA: The Essential Science Fiction Films of the 1950s,Michael Bliss,9.78144E+12,Rowman & Littlefield Publishers Inc.,,188,6.20(w) x 9.00(h) x 0.80(d)
Silent Music: The Science of Meditation / Edition 2,William Johnston,9.78082E+12,Fordham University Press,2,190,8.40(w) x 5.50(h) x 0.50(d)
A Sky Unbroken,Megan Crewe,9.7815E+12,Amazon Publishing,,337,5.40(w) x 8.20(h) x 1.10(d)
Alien Dimensions: Science Fiction Fantasy and Metaphysical Short Stories #11,Neil A. Hogan;  Sean Mulroy;  James Armer,9.78197E+12,CreateSpace Publishing,,78,6.00(w) x 1.25(h) x 9.00(d)
Color me Anime Vol. 2,Coloring Design,9.78154E+12,CreateSpace Publishing,,100,6.00(w) x 1.25(h) x 9.00(d)
A Science Fiction Cookbook: And Guide to Edible Niceties,Nicole Lynn Roach,9.78069E+12,Rogue Shoebox,,72,6.00(w) x 9.00(h) x 0.19(d)
Fifty Shades of Grey Blank Notebook and Journal,E. L. James,9.78154E+12,CreateSpace Publishing,,400,8.50(w) x 11.00(h) x 0.82(d)
The Dangerous Alphabet,Neil Gaiman;  Gris Grimly,9.78006E+12,HarperCollins Publishers,,32,10.80(w) x 6.80(h) x 0.20(d)
Paratexts: Introductions to Science Fiction and Fantasy,James Gunn,9.78081E+12,Rowman & Littlefield Publishers Inc.,,242,6.00(w) x 8.90(h) x 0.60(d)
Knife Creek (Mike Bowditch Series #8),Paul Doiron,9.78125E+12,St. Martin's Press,,352,9.30(w) x 6.40(h) x 1.20(d)
Murder in Saint-Germain (Aimee Leduc Series #17),Cara Black,9.78162E+12,Soho Press Incorporated,,336,6.30(w) x 8.60(h) x 1.20(d)
Bad Vice: A Gotcha Detective Agency Mystery,Jamie Lee Scott,9.7815E+12,CreateSpace Publishing,,212,5.00(w) x 8.00(h) x 0.53(d)
Witchblade Volume 8,Ron Marz,9.78161E+12,Image Comics,,176,6.40(w) x 10.10(h) x 0.50(d)
Darker Passions,Edward Bryant,9.7815E+12,CreateSpace Publishing,,76,5.00(w) x 8.00(h) x 0.18(d)
Race and Popular Fantasy Literature: Habits of Whiteness,Helen Young,9.78114E+12,Taylor & Francis,,238,6.20(w) x 9.20(h) x 0.60(d)
Big Cats,ABDO Publishing Company,9.78163E+12,ABDO Publishing Company,,24,9.30(w) x 11.30(h) x 1.70(d)
Severe Clear (Stone Barrington Series #24),Stuart Woods,9.78045E+12,Penguin Publishing Group,,384,4.20(w) x 7.40(h) x 1.10(d)
Alex the Superhero,Peter Hayward,9.7815E+12,CreateSpace Publishing,,30,7.00(w) x 10.00(h) x 0.08(d)
Blood Moon,Angela Roquet,9.78151E+12,CreateSpace Publishing,,160,5.00(w) x 8.00(h) x 0.37(d)
Finding Ruby Starling,Karen Rivers,9.78055E+12,Scholastic Inc.,,288,5.50(w) x 8.30(h) x 1.20(d)
Lost Legacy (Zoe Chambers Series #2),Annette Dashofy,9.78194E+12,Henery Press,,292,5.40(w) x 8.40(h) x 0.70(d)
Homage to Catalonia,George Orwell,9.78054E+12,Houghton Mifflin Harcourt,,304,5.30(w) x 7.90(h) x 0.90(d)
The Canterbury Tales (Barnes & Noble Classics Series),Geoffrey Chaucer,9.78159E+12,Barnes & Noble,Annotated edition,912,5.18(w) x 8.00(h) x 1.83(d)
Gift From the Stars,James Gunn,9.78194E+12,Reputation Books,,270,5.25(w) x 8.00(h) x 0.61(d)
We Stand on Guard,Brian K. Vaughan,9.78153E+12,Image Comics,Reprint,160,6.40(w) x 9.50(h) x 0.60(d)
Skeleton Key,Jeff LaFerney,9.78062E+12,Tower Publications,,236,6.00(w) x 9.00(h) x 0.54(d)
Bridge of Dreams (Ephemera Series #3),Anne Bishop,9.78045E+12,Penguin Publishing Group,Reprint,480,4.10(w) x 6.70(h) x 1.40(d)
Shades of Light,Carl Hitchens,9.78149E+12,iUniverse Incorporated,,116,6.00(w) x 9.00(h) x 0.28(d)
Dead Watch,John Sandford,9.78043E+12,Penguin Publishing Group,Reprint,416,4.25(w) x 7.50(h) x 0.89(d)
Science: Notebook - Black,Kickazz Notebooks,9.78151E+12,CreateSpace Publishing,,192,5.00(w) x 8.00(h) x 0.41(d)
Wicked Appetite (Lizzy and Diesel Series #1),Janet Evanovich,9.78031E+12,St. Martin's Press,,352,3.98(w) x 6.84(h) x 0.96(d)
Monstrous Creatures,Jeff VanderMeer,9.78194E+12,Raw Dog Screaming Press,,252,6.00(w) x 9.00(h) x 0.57(d)
"Brass Vintage Desktop Armillary Globe (5"" x 5"")",Barnes & Noble; Other Format,9.78059E+12,Barnes & Noble,,,7.50(w) x 7.30(h) x 5.30(d)
Peter Pan (Barnes & Noble Collectible Editions),J. M. Barrie,9.78144E+12,Barnes & Noble,Bonded Leather,200,6.30(w) x 8.30(h) x 0.80(d)
Foundation and Empire (Foundation Series #2),Isaac Asimov,9.78055E+12,Random House Publishing Group,Reprint,272,5.50(w) x 8.20(h) x 0.54(d)
Favorite Sherlock Holmes Detective Stories,Arthur Conan Doyle,9.78049E+12,Dover Publications,Unabridged,208,5.18(w) x 8.21(h) x 0.51(d)
